"Player","Team","ATT","CMP","YDS","TDS","INTS","ATT","YDS","TDS","FL","FPTS"
"Malik Willis","GB","43.7","26.7","259.6","1.8","0.9","5.9","26.8","0.1","0.3","19.4"
"Joe Flacco","IND","48.8","30.6","317.2","1.8","1.1","5.0","13.3","0.0","0.5","19.4"
"Mac Jones","JAC","47.0","31.5","293.9","1.6","0.9","5.4","18.9","0.0","0.1","19.2"
"Easton Stick","LAC","43.3","26.5","264.2","1.7","0.9","6.1","24.4","0.1","0.2","18.9"
"Kenny Pickett","PHI","43.8","28.4","283.3","1.6","1.2","7.1","21.5","0.2","0.5","18.9"
"Marcus Mariota","WAS","42.6","26.5","271.9","1.5","1.2","6.9","30.3","0.1","0.2","18.9"
"Clayton Tune","ARI","47.0","30.3","282.5","1.4","1.3","5.5","20.7","0.1","0.2","18.2"
"Kyle Trask","TB","44.7","26.9","265.0","1.7","0.9","5.5","13.5","0.1","0.2","18.0"
"Mason Rudolph","TEN","44.0","27.1","281.3","1.7","1.2","4.9","14.5","0.0","0.2","18.0"
"Andy Dalton","CAR","45.6","28.5","270.3","1.5","0.9","4.7","16.6","0.1","0.1","17.8"
"Sean Clifford","GB","35.0","22.0","199.5","1.5","1.0","6.0","11.5","0.0","0.0","14.1"
"Tyler Huntley","CLE","0.0","0.0","202.0","1.0","1.0","0.0","24.0","0.0","0.0","13.5"
"Zach Wilson","DEN","0.0","0.0","200.0","1.0","1.0","0.0","17.0","0.0","0.0","12.7"
"Jaren Hall","MIN","0.0","0.0","174.0","1.0","1.0","0.0","26.0","0.0","0.0","12.6"
"Tommy DeVito","NYG","0.0","0.0","190.0","1.0","1.0","0.0","17.0","0.0","0.0","12.3"
"Case Keenum","HOU","0.0","0.0","205.0","1.0","1.0","0.0","8.0","0.0","0.0","12.0"
"Trey Lance","DAL","24.0","15.0","177.0","1.0","1.0","5.0","18.5","0.0","0.0","11.9"
"Jordan Travis","NYJ","0.0","0.0","188.0","1.0","1.0","0.0","10.0","0.0","0.0","11.5"
"Taylor Heinicke","ATL","0.0","0.0","220.0","1.0","1.0","0.0","14.0","0.0","1.0","11.2"
"Joe Milton III","NE","0.0","0.0","190.0","1.0","1.0","0.0","17.0","0.0","1.0","10.3"
"Kyle Allen","PIT","0.0","0.0","149.0","1.0","1.0","0.0","10.0","0.0","0.0","10.0"
"Mike White","BUF","0.0","0.0","155.0","1.0","1.0","0.0","7.0","0.0","0.0","9.9"
"Bailey Zappe","KC","0.0","0.0","140.0","1.0","1.0","0.0","11.0","0.0","0.0","9.7"
"Jake Haener","NO","17.0","11.0","119.0","1.0","0.0","2.0","8.0","0.0","0.0","9.6"
"Stetson Bennett","LAR","0.0","0.0","92.0","1.0","0.0","0.0","13.0","0.0","0.0","9.0"
"Sam Hartman","WAS","0.0","0.0","100.0","1.0","0.0","0.0","7.0","0.0","0.0","8.7"
"Dorian Thompson-Robinson","CLE","25.0","14.0","121.5","0.5","0.5","5.0","21.0","0.0","0.0","8.5"
"Tanner McKee","PHI","0.0","0.0","80.0","1.0","0.0","0.0","8.0","0.0","0.0","8.0"
"Sam Ehlinger","IND","0.0","0.0","76.0","1.0","0.0","0.0","8.0","0.0","0.0","7.8"
""
""
